srg,cnf
p_00001,x
p_00002,y
p_00003,z
p_00004,o
p_00005,f
p_00006,level
p_00007,x0
p_00008,y0
p_00009,z0
p_00010,x1
p_00011,y1
p_00012,z1
p_00013,layer
p_00014,layer
p_00015,frustum
p_00016,side
p_00017,x
p_00018,y
p_00019,z
p_00020,x
p_00021,y
p_00022,z
p_00023,radius
p_00024,x1
p_00025,y1
p_00026,z1
p_00027,x2
p_00028,y2
p_00029,z2
p_00030,x1
p_00031,y1
p_00032,z1
p_00033,x2
p_00034,y2
p_00035,z2
p_00036,aabb
p_00037,w
p_00038,h
p_00039,d
p_00040,x0
p_00041,z0
p_00042,x1
p_00043,z1
p_00044,levelListener
p_00045,levelListener
p_00046,x
p_00047,y
p_00048,z
p_00049,x
p_00050,y
p_00051,z
p_00052,x
p_00053,y
p_00054,z
p_00055,aABB
p_00056,x
p_00057,y
p_00058,z
p_00059,x
p_00060,y
p_00061,z
p_00062,type
p_00063,x
p_00064,y
p_00065,z
p_00066,x
p_00067,z
p_00068,y0
p_00069,y1
p_00070,level
p_00071,player
p_00072,layer
p_00073,player
p_00074,h
p_00075,x0
p_00076,y0
p_00077,z0
p_00078,x1
p_00079,y1
p_00080,z1
p_00081,u
p_00082,v
p_00083,r
p_00084,g
p_00085,b
p_00086,x
p_00087,y
p_00088,z
p_00089,tex
p_00090,t
p_00091,level
p_00092,layer
p_00093,x
p_00094,y
p_00095,z
p_00096,t
p_00097,x
p_00098,y
p_00099,z
p_00100,face
p_00101,x0
p_00102,y0
p_00103,z0
p_00104,x1
p_00105,y1
p_00106,z1
p_00107,xa
p_00108,ya
p_00109,za
p_00110,xa
p_00111,ya
p_00112,za
p_00113,c
p_00114,xa
p_00115,c
p_00116,ya
p_00117,c
p_00118,za
p_00119,c
p_00120,xa
p_00121,ya
p_00122,za
p_00123,level
p_00135,a
p_00136,a
p_00137,a
p_00138,x
p_00139,y
p_00140,a
p_00141,a
p_00142,args
p_00143,resourceName
p_00144,mode
p_00146,ticksPerSecond
p_00147,xTexOffs
p_00148,yTexOffs
p_00149,xTexOffs
p_00150,yTexOffs
p_00151,x0
p_00152,y0
p_00153,z0
p_00154,w
p_00155,h
p_00156,d
p_00157,x
p_00158,y
p_00159,z
p_00160,vertices
p_00161,vertices
p_00162,u0
p_00163,v0
p_00164,u1
p_00165,v1
p_00166,x
p_00167,y
p_00168,z
p_00169,t
p_00170,p
p_00171,x
p_00172,y
p_00173,z
p_00174,x
p_00175,y
p_00176,z
p_00177,u
p_00178,v
p_00179,u
p_00180,v
p_00181,vertex
p_00182,u
p_00183,v
p_00184,pos
p_00185,u
p_00186,v
p_00187,level
p_00188,x
p_00189,y
p_00190,z
p_00191,a
p_00192,level
p_00193,x
p_00194,y
p_00195,z
p_00196,xo
p_00197,yo
p_00198,xa
p_00199,ya
p_00200,za
p_00201,xa
p_00202,za
p_00203,speed
